iata_code,name,latitude_deg,longitude_deg,type
BJA,Soummam–Abane Ramdane Airport,36.712547,5.069909,large_airport
ALG,Houari Boumediene Airport,36.693886,3.214531,large_airport
DJG,Tiska Djanet Airport,24.285448,9.463652,large_airport
VVZ,Illizi Takhamalt Airport,26.723499,8.62265,medium_airport
QSF,Ain Arnat Airport,36.178488,5.329909,medium_airport
TMR,Aguenar – Hadj Bey Akhamok Airport,22.810992,5.450832,large_airport
GJL,Jijel Ferhat Abbas Airport,36.794125,5.873652,large_airport
MZW,Mecheria Airport,33.535900116,-0.242353007197,medium_airport
AAE,Annaba Rabah Bitat Airport,36.826781,7.81334,large_airport
CZL,Mohamed Boudiaf International Airport,36.276001,6.62039,large_airport
TEE,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,medium_airport
BLJ,Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,large_airport
HRM,Hassi R'Mel Airport,32.930401,3.31154,medium_airport
TID,Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,medium_airport
TIN,Tindouf Airport,27.7003993988,-8.167099952700001,medium_airport
CFK,Chlef Aboubakr Belkaid International Airport,36.216614,1.341114,large_airport
TAF,Oran Tafraoui Airport,35.5424,-0.532278,medium_airport
TLM,Zenata – Messali El Hadj Airport,35.012732,-1.457117,large_airport
ORN,Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.620648,-0.622486,large_airport
CBH,Béchar Boudghene Ben Ali Lotfi Airport,31.645700454711918,-2.269860029220581,medium_airport
MUW,Ghriss Airport,35.207699,0.147142,medium_airport
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414,medium_airport
BSK,Biskra - Mohamed Khider Airport,34.79318,5.738899,large_airport
ELG,El Golea Airport,30.580732,2.861595,medium_airport
GHA,Noumérat - Moufdi Zakaria Airport,32.384102,3.79411,medium_airport
HME,Hassi Messaoud-Oued Irara Krim Belkacem Airport,31.673,6.14044,medium_airport
INZ,In Salah Airport,27.250999,2.51202,medium_airport
TGR,Touggourt Sidi Madhi Airport,33.067799,6.08867,medium_airport
LOO,Laghouat - Molay Ahmed Medeghri Airport,33.7644,2.92834,medium_airport
ELU,Guemar Airport - مطار قمار بالوادي,33.511398,6.77679,medium_airport
TMX,Timimoun Airport,29.237101,0.276033,medium_airport
OGX,Ain Beida Airport,31.9172,5.41278,medium_airport
IAM,Zarzaitine - In Aménas Airport,28.0515,9.64291,medium_airport
COO,Cotonou Cadjehoun International Airport,6.35723,2.38435,large_airport
OUA,Ouagadougou Thomas Sankara International Airport,12.3532,-1.51242,large_airport
BOY,Bobo Dioulasso Airport,11.1601,-4.33097,large_airport
ACC,Kotoka International Airport,5.605189800262451,-0.1667860001325607,large_airport
TML,Yakubu Tali International Airport,9.553909,-0.86606,large_airport
KMS,Prempeh I International Airport,6.71456,-1.59082,large_airport
NYI,Sunyani Airport,7.36183,-2.32876,medium_airport
TKD,Takoradi Airport,4.896059989929199,-1.7747600078582764,medium_airport
ABJ,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,large_airport
BYK,Bouaké Airport,7.7388,-5.07367,medium_airport
DJO,Daloa Airport,6.79281,-6.47319,medium_airport
HGO,Korhogo Airport,9.38718,-5.55666,medium_airport
MJC,Man Airport,7.27207,-7.58736,medium_airport
SPY,San Pedro Airport,4.74672,-6.66082,medium_airport
ASK,Yamoussoukro International Airport,6.90317,-5.36558,large_airport
DKA,Umaru Musa Yar'adua Airport,13.0078,7.66045,medium_airport
ABV,Nnamdi Azikiwe International Airport,9.00679,7.26317,large_airport
QUO,Akwa Ibom International Airport,4.8725,8.093,medium_airport
AKR,Akure Airport,7.246739864349365,5.3010101318359375,medium_airport
ABB,Asaba International Airport,6.204167,6.665278,large_airport
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.482833,9.744,large_airport
BNI,Benin Airport,6.316979885101318,5.599500179290772,medium_airport
CBQ,Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,medium_airport
ENU,Akanu Ibiam International Airport,6.473718,7.560463,large_airport
GMO,Gombe Lawanti International Airport,10.298889,10.9,medium_airport
IBA,Ibadan Airport,7.362460136413574,3.97832989692688,medium_airport
ILR,General Tunde Idiagbon International Airport,8.44021,4.49392,large_airport
QOW,Sam Mbakwe International Cargo Airport,5.42706,7.20603,medium_airport
JOS,Yakubu Gowon Airport,9.639829635620115,8.869050025939941,medium_airport
KAD,Kaduna International Airport,10.696,7.32011,large_airport
KAN,Mallam Aminu Kano International Airport,12.045613,8.523566,large_airport
MIU,Maiduguri International Airport,11.854163,13.080702,large_airport
MDI,Makurdi Airport,7.70388,8.61394,medium_airport
LOS,Murtala Muhammed International Airport,6.57737,3.32116,large_airport
MXJ,Minna Airport,9.652170181274414,6.462259769439697,medium_airport
PHC,Port Harcourt International Airport,5.01549,6.94959,large_airport
SKO,Sadiq Abubakar III International Airport,12.915729,5.207547,large_airport
