iata_code,name,latitude_deg,longitude_deg,type,country,country_zh,iso,city,city_alt,kw
HBX,Hubballi Airport,15.361084,75.082096,medium_airport,India,印度,IN,Hubballi,,"Hubli, VAHB"
HSR,Rajkot International Airport,22.378824,71.039391,large_airport,India,印度,IN,Rajkot,,Hirasar Airport
IDR,Devi Ahilya Bai Holkar International Airport,22.721404,75.80051,large_airport,India,印度,IN,Indore,,
JLR,Jabalpur Airport,23.177799,80.052002,medium_airport,India,印度,IN,Jabalpur,,
JLG,Jalgaon Airport,20.962678,75.627492,small_airport,India,印度,IN,Jalgaon,,VA47
JGA,Jamnagar Airport,22.465499877929688,70.01260375976562,medium_airport,India,印度,IN,Jamnagar,,Jamnagar Air Force Station
IXY,Kandla Airport,23.1127,70.100304,medium_airport,India,印度,IN,Kandla,,
HJR,Khajuraho Airport,24.8172,79.918602,medium_airport,India,印度,IN,Khajuraho,,VAKJ
KLH,Kolhapur Airport,16.6647,74.289398,medium_airport,India,印度,IN,Kolhapur,,
IXK,Keshod Airport,21.317101,70.270401,medium_airport,India,印度,IN,Keshod,,
LTU,Murod Kond Airport,18.411501,76.464699,medium_airport,India,印度,IN,Latur,,
NDC,Nanded Airport,19.1833,77.316704,medium_airport,India,印度,IN,Nanded,,
NAG,Dr. Babasaheb Ambedkar International Airport,21.092199,79.047203,large_airport,India,印度,IN,Nagpur,,"Sonegaon Airport, Sonegaon Air Force Station"
ISK,Nashik International Airport,20.119101,73.912903,large_airport,India,印度,IN,Nashik,,VA35
PNQ,Pune International Airport,18.5821,73.919701,large_airport,India,印度,IN,Pune,,"Lohegaon Airport, Lohegaon Air Force Station"
PBD,Porbandar Airport,21.649524,69.656405,medium_airport,India,印度,IN,Porbandar,,
RTC,Ratnagiri Airport,17.013599,73.327797,medium_airport,India,印度,IN,,,
RAJ,Rajkot Airport,22.3092,70.779503,medium_airport,India,印度,IN,Rajkot,,
RPR,Swami Vivekananda Airport,21.180401,81.7388,medium_airport,India,印度,IN,Raipur,,"VARP, Mana Airport, Raipur Airport"
SAG,Shirdi International Airport,19.689211,74.373655,large_airport,India,印度,IN,Kakadi,,"Ahmednagar, Saibaba"
SSE,Solapur Airport,17.6280002594,75.93479919430001,medium_airport,India,印度,IN,Solapur,,Sholapur
STV,Surat International Airport,21.115531,72.743251,large_airport,India,印度,IN,Surat,,
UDR,Maharana Pratap Airport,24.617700576799997,73.89610290530001,medium_airport,India,印度,IN,Udaipur,,Dabok Airport
CMB,Bandaranaike International Colombo Airport,7.180759906768799,79.88410186767578,large_airport,Sri Lanka,斯里兰卡,LK,Colombo,,"RAF Negombo, Katunayake International Airport"
ACJ,Anuradhapura Airport,8.301542,80.42848,medium_airport,Sri Lanka,斯里兰卡,LK,Anuradhapura,,SLAF Anuradhapura
BTC,Batticaloa International Airport,7.705073,81.677163,medium_airport,Sri Lanka,斯里兰卡,LK,Batticaloa,,
RML,Colombo Ratmalana International Airport,6.821638,79.885859,large_airport,Sri Lanka,斯里兰卡,LK,Colombo,,
ADP,Ampara Airport,7.336745,81.623869,medium_airport,Sri Lanka,斯里兰卡,LK,Ampara,,"GOY, Gal Oya Airport"
HIM,Hingurakgoda Air Force Base,8.04981,80.9814,medium_airport,Sri Lanka,斯里兰卡,LK,Polonnaruwa Town,,"MNH, Minneriya Airport"
JAF,Jaffna International Airport,9.79233,80.070099,large_airport,Sri Lanka,斯里兰卡,LK,Jaffna,,"SLAF Palaly, Kankesanturai"
KCT,Koggala Airport,5.993680000305176,80.32029724121094,medium_airport,Sri Lanka,斯里兰卡,LK,Galle,,SLAF Koggala
TRR,China Bay Airport,8.539159,81.18128,medium_airport,Sri Lanka,斯里兰卡,LK,Trincomalee,,"SLAF China Bay, RAF China Bay, Trincomalee Airport"
HRI,Mattala Rajapaksa International Airport,6.283878,81.124163,medium_airport,Sri Lanka,斯里兰卡,LK,Mattala,,Hambantota International Airport
BBM,Battambang Airport,13.0956,103.223999,medium_airport,Cambodia,柬埔寨,KH,Battambang,,
PNH,Phnom Penh International Airport,11.547155,104.844699,large_airport,Cambodia,柬埔寨,KH,Phnom Penh,Phnom Penh (Pou Senchey),Pochentong International Airport
RBE,Ratanakiri Airport,13.729999542236328,106.98699951171875,medium_airport,Cambodia,柬埔寨,KH,Ratanakiri,,
SAI,Siem Reap-Angkor International Airport,13.36974,104.223831,large_airport,Cambodia,柬埔寨,KH,Siem Reap,,
KOS,Sihanouk International Airport,10.570557,103.632067,large_airport,Cambodia,柬埔寨,KH,Preah Sihanouk,,"Kompong Som, Sihanoukville International Airport, Kang Keng Airport"
IXV,Along Airport,28.17530059814453,94.802001953125,medium_airport,India,印度,IN,,,
IXA,Agartala - Maharaja Bir Bikram Airport,23.886999,91.240402,medium_airport,India,印度,IN,Agartala,,"Singerbhil Airport, Agartala Air Force Station"
IXB,Bagdogra Airport,26.6812,88.328598,large_airport,India,印度,IN,Siliguri,,Bagdogra Air Force Station
SHL,Shillong Airport,25.70359992980957,91.97869873046875,medium_airport,India,印度,IN,Shillong,,"Barapani Airport, Barapani Air Force Station, Umroi Airport"
VNS,Lal Bahadur Shastri International Airport,25.452171,82.862549,large_airport,India,印度,IN,Varanasi,,"VIBN, Babatpur Airport, Varanasi Airport"
BBI,Biju Patnaik International Airport,20.251021,85.814747,large_airport,India,印度,IN,Bhubaneswar,,
PAB,Bilaspur Airport,21.9884,82.111,medium_airport,India,印度,IN,Bilaspur,,VABI
CCU,Netaji Subhash Chandra Bose International Airport,22.654012,88.44765,large_airport,India,印度,IN,Kolkata,,"Calcutta, Kolkatta, Dum Dum Air Force Station"
DBD,Dhanbad Airport,23.834,86.425301,medium_airport,India,印度,IN,,,
RDP,Kazi Nazrul Islam Airport,23.6225,87.243,medium_airport,India,印度,IN,Durgapur,,"Andal Airport, Durgapur Airport"
DBR,Darbhanga Airport,26.192801,85.916901,medium_airport,India,印度,IN,Darbhanga,,
DGH,Deoghar Airport,24.446842,86.704955,small_airport,India,印度,IN,Deoghar,,
GOP,Gorakhpur Airport,26.739700317399997,83.4496994019,medium_airport,India,印度,IN,Gorakhpur,,Gorakhpur Air Force Station
GAU,Lokpriya Gopinath Bordoloi International Airport,26.106654,91.585226,large_airport,India,印度,IN,Guwahati,,"Borjhar Airport, Mountain Shadow Air Force Station"
GAY,Gaya Airport,24.744301,84.951202,medium_airport,India,印度,IN,Gaya,,
IMF,Bir Tikendrajit International Airport,24.76,93.896698,large_airport,India,印度,IN,Imphal,,Imphal
JRG,Jharsuguda Airport,21.9135,84.0504,small_airport,India,印度,IN,,,
IXW,Sonari Airport,22.813706,86.168981,medium_airport,India,印度,IN,Jamshedpur,,
JRH,Jorhat Airport,26.730456,94.175416,medium_airport,India,印度,IN,Jorhat,,"Rowriah Airport, Jorhat Air Force Station"
KBK,Kushinagar International Airport,26.776534,83.889214,medium_airport,India,印度,IN,Kushinagar,,
IXH,Kailashahar Airport,24.308657,92.00768,medium_airport,India,印度,IN,Kailashahar,,
IXS,Silchar Airport,24.9129009247,92.97869873050001,medium_airport,India,印度,IN,Silchar,,Kumbhigram Air Force Station
AJL,Lengpui Airport,23.840599,92.619698,medium_airport,India,印度,IN,Aizawl,Aizawl (Lengpui),
IXI,Lilabari North Lakhimpur Airport,27.295682,94.097266,medium_airport,India,印度,IN,Lilabari,,
DIB,Dibrugarh Airport,27.4839000702,95.0168991089,medium_airport,India,印度,IN,Dibrugarh,,Mohanbari Air Force Station
DMU,Dimapur Airport,25.883899688699998,93.77110290530001,medium_airport,India,印度,IN,Dimapur,,
MZU,Muzaffarpur Airport,26.119101,85.313698,medium_airport,India,印度,IN,Muzaffarpur,,
PAT,Jay Prakash Narayan Airport,25.591299,85.087997,medium_airport,India,印度,IN,Patna,,Lok Nayah Jayprakash
IXR,Birsa Munda Airport,23.314300537100003,85.3217010498,medium_airport,India,印度,IN,Ranchi,,
RRK,Rourkela Airport,22.256571,84.815193,medium_airport,India,印度,IN,Rourkela,,
TEZ,Tezpur Airport,26.7091007232666,92.78469848632812,medium_airport,India,印度,IN,,,"Salonibari Airport, Tezpur Air Force Station"
UKE,Utkela Airport,20.097778,83.183333,medium_airport,India,印度,IN,Bhawanipatna,,
ZER,Ziro Airport,27.588301,93.828102,medium_airport,India,印度,IN,Ziro,,
BZL,Barisal Airport,22.801001,90.301201,medium_airport,Bangladesh,孟加拉国,BD,Barisal,,
CXB,Cox's Bazar Airport,21.457517,91.963263,medium_airport,Bangladesh,孟加拉国,BD,Cox's Bazar,,
CGP,Shah Amanat International Airport,22.249599,91.813301,large_airport,Bangladesh,孟加拉国,BD,Chattogram,Chattogram (Chittagong),M.A. Hannan International Airport
DAC,Hazrat Shahjalal International Airport,23.843347,90.397783,large_airport,Bangladesh,孟加拉国,BD,Dhaka,,"VGZR, Zia International Airport, Dacca International Airport, Hazrat Shahjalal International Airport"
IRD,Ishurdi Airport,24.1525,89.0494,medium_airport,Bangladesh,孟加拉国,BD,Ishurdi,,Ishwardi
JSR,Jessore Airport,23.1838,89.160797,medium_airport,Bangladesh,孟加拉国,BD,Jashore,Jashore (Jessore),
RJH,Shah Makhdum Airport,24.437201,88.616501,medium_airport,Bangladesh,孟加拉国,BD,Rajshahi,,
SPD,Saidpur Airport,25.759199,88.908897,medium_airport,Bangladesh,孟加拉国,BD,Saidpur,,
ZYL,Osmany International Airport,24.963993,91.864749,large_airport,Bangladesh,孟加拉国,BD,Sylhet,,
HKG,Hong Kong International Airport,22.31184,113.914862,large_airport,"Hong Kong, China",中国香港,HK,Hong Kong,,"Chek Lap Kok Airport, 赤鱲角機場"
